#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 12 31 23 50 254  5.5  7.4  2.87 13.79  9.67 312 1017.9  23.8  24.5 999.0 99.0 99.00
2016 01 01 00 50 271  6.2  8.1  2.70 13.79  9.43 313 1017.2  23.9  24.5 999.0 99.0 99.00
2016 01 01 01 50 288  6.5  8.1  2.90 13.79  9.33 311 1017.0  24.0  24.5 999.0 99.0 99.00
2016 01 01 02 50 277  6.0  7.5  2.97 14.81  9.24 334 1017.0  24.3  24.5 999.0 99.0 99.00
2016 01 01 03 50 283  5.7  7.2  3.17 14.81  9.48 331 1017.4  24.1  24.5 999.0 99.0 99.00
2016 01 01 04 50 285  5.7  8.6  3.19 14.81  9.61 325 1018.0  23.8  24.5 999.0 99.0 99.00
2016 01 01 05 50 313  7.7  9.6  2.71 13.79  8.69 329 1018.4  23.8  24.5 999.0 99.0 99.00
2016 01 01 06 50 341  7.6  9.7  2.94 14.81  8.65 308 1019.1  21.5  24.5 999.0 99.0 99.00
2016 01 01 07 50 338  7.7  9.5  3.17 13.79  9.34 315 1019.0  23.4  24.6 999.0 99.0 99.00
2016 01 01 08 50 338  7.8  9.6  3.24 12.90  8.89 330 1019.1  23.5  24.6 999.0 99.0 99.00
2016 01 01 09 50 338  7.9  9.9  3.13 12.90  8.46 321 1019.2  23.4  24.6 999.0 99.0 99.00
2016 01 01 10 50 334  6.2  8.7  3.14 14.81  8.45 327 1018.6  23.0  24.6 999.0 99.0 99.00
2016 01 01 11 50 341  9.5 11.9  3.29 12.90  8.60 322 1018.2  22.7  24.6 999.0 99.0 99.00
2016 01 01 12 50 339  8.9 10.9  2.92 13.79  7.48 326 1018.1  22.5  24.6 999.0 99.0 99.00
2016 01 01 13 50 337  7.3  9.7  3.23 13.79  8.11 327 1017.9  22.3  24.6 999.0 99.0 99.00
2016 01 01 14 50 343  8.4 11.1  3.16 13.79  8.20 332 1018.1  21.8  24.5 999.0 99.0 99.00
2016 01 01 15 50 345  7.2  9.3  3.15 14.81  7.89 331 1018.3  22.0  24.5 999.0 99.0 99.00
2016 01 01 16 50 337  8.0 10.6  3.06 12.12  7.94 328 1019.0  21.9  24.5 999.0 99.0 99.00
2016 01 01 17 50 331  7.8  9.9  3.45 12.90  8.26 325 1019.4  22.2  24.5 999.0 99.0 99.00
2016 01 01 18 50 334  8.7 11.7  4.08 13.79  9.20 338 1020.1  22.2  24.5 999.0 99.0 99.00
2016 01 01 19 50 329  8.4 11.1  4.48 14.81  9.68 336 1021.0  22.0  24.5 999.0 99.0 99.00
2016 01 01 20 50 345  9.7 12.0  4.51 14.81  9.50 344 1021.2  21.9  24.4 999.0 99.0 99.00
2016 01 01 21 50 355  9.1 12.1  5.47 13.79 10.40 340 1021.0  21.7  24.4 999.0 99.0 99.00
2016 01 01 22 50 348  8.4 10.9  5.15 14.81 10.21 328 1020.2  21.8  24.5 999.0 99.0 99.00
2016 01 01 23 50 357  9.4 11.4  4.31 14.81  9.65 329 1018.8  21.8  24.4 999.0 99.0 99.00
2016 01 02 00 50 360  9.2 11.2  4.45 13.79  9.28 323 1018.7  21.5  24.4 999.0 99.0 99.00
2016 01 02 01 50   4  9.1 11.2  4.50 13.79  9.20 338 1018.9  21.7  24.5 999.0 99.0 99.00
2016 01 02 02 50  11  8.9 11.4  4.66 14.81  9.41 320 1019.2  21.7  24.5 999.0 99.0 99.00
2016 01 02 03 50  22  9.8 11.8  4.25 14.81  8.95 310 1019.1  21.4  24.5 999.0 99.0 99.00
2016 01 02 04 50  27  9.9 11.7  4.54 14.81  9.27 308 1019.4  21.1  24.5 999.0 99.0 99.00
2016 01 02 05 50  35  8.7 10.7  3.49 14.81  7.92 306 1019.7  21.1  24.5 999.0 99.0 99.00
2016 01 02 06 50  49  8.9 10.5  3.82 13.79  8.44 327 1020.0  21.2  24.5 999.0 99.0 99.00
2016 01 02 07 50  52  8.3 10.1  3.88 13.79  8.86 315 1020.3  21.3  24.5 999.0 99.0 99.00
2016 01 02 08 50  44  7.8  9.3  3.74 13.79  8.17 307 1020.4  21.4  24.5 999.0 99.0 99.00
2016 01 02 09 50  57  7.5  9.5  3.46 13.79  8.26 324 1020.3  21.5  24.5 999.0 99.0 99.00
2016 01 02 10 50  67  6.9  9.1  3.27 13.79  8.28 321 1020.0  21.6  24.5 999.0 99.0 99.00
2016 01 02 11 50  70  7.1  8.4  3.17 13.79  8.17 312 1019.4  21.7  24.5 999.0 99.0 99.00
2016 01 02 12 50  67  6.5  8.3  3.07 13.79  8.14 314 1019.2  21.5  24.5 999.0 99.0 99.00
2016 01 02 13 50  77  5.5  7.1  3.33 13.79  8.73 322 1019.1  21.5  24.5 999.0 99.0 99.00
2016 01 02 14 50  87  5.7  7.9  3.37 13.79  9.29 310 1019.1  21.6  24.5 999.0 99.0 99.00
2016 01 02 15 50  83  6.2  9.4  3.44 13.79  9.19 314 1019.3  21.7  24.5 999.0 99.0 99.00
2016 01 02 16 50 105  5.1  8.9  3.48 13.79  9.59 320 1020.2  21.7  24.5 999.0 99.0 99.00
2016 01 02 17 50 127  5.3  7.6  3.69 13.79  9.88 315 1020.8  21.8  24.5 999.0 99.0 99.00
2016 01 02 18 50 110  3.8  8.2  3.72 12.90 10.26 328 1021.6  22.0  24.5 999.0 99.0 99.00
2016 01 02 19 50 121  4.7  7.7  4.03 14.81 10.48 332 1022.3  22.3  24.6 999.0 99.0 99.00
2016 01 02 20 50 154  4.8  7.5  3.72 13.79 10.39 314 1022.5  22.5  24.6 999.0 99.0 99.00
2016 01 02 21 50 161  2.8  6.2  3.59 12.90 10.21 327 1021.8  22.6  24.6 999.0 99.0 99.00
2016 01 02 22 50 203  4.1  5.7  3.77 13.79 10.59 315 1020.7  22.6  24.6 999.0 99.0 99.00
2016 01 02 23 50 190  4.3  5.9  3.83 13.79 10.64 313 1019.9  23.1  24.6 999.0 99.0 99.00
2016 01 03 00 50 199  3.9  6.3  3.54 12.12 10.30 327 1019.1  22.9  24.7 999.0 99.0 99.00
2016 01 03 01 50 234  3.4  5.4  3.38 12.90 10.22 309 1018.9  23.3  24.7 999.0 99.0 99.00
2016 01 03 02 50 233  3.7  5.8  3.27 11.43  9.94 319 1019.2  23.3  24.6 999.0 99.0 99.00
2016 01 03 03 50 237  2.8  4.8  2.93 12.12  9.89 325 1019.8  22.9  24.5 999.0 99.0 99.00
2016 01 03 04 50 282  2.8  4.7  3.09 13.79 10.02 317 1020.7  23.0  24.5 999.0 99.0 99.00
2016 01 03 05 50 269  3.9  5.4  2.95 12.12 10.02 312 1021.0  23.2  24.5 999.0 99.0 99.00
2016 01 03 06 50 281  4.5  6.5  2.94 13.79  9.93 319 1021.3  23.2  24.5 999.0 99.0 99.00
2016 01 03 07 50 264  3.6  5.1  2.96 13.79  9.93 318 1021.2  23.1  24.5 999.0 99.0 99.00
2016 01 03 08 50 261  2.6  4.1  2.87 13.79  9.92 327 1020.9  22.9  24.5 999.0 99.0 99.00
2016 01 03 09 50 242  3.2  4.5  2.63 13.79  9.70 323 1020.8  23.0  24.5 999.0 99.0 99.00
2016 01 03 10 50 259  3.9  5.2  2.95 13.79 10.34 328 1020.1  23.2  24.5 999.0 99.0 99.00
2016 01 03 11 50 260  3.0  4.3  3.04 13.79 10.48 319 1019.8  23.0  24.5 999.0 99.0 99.00
2016 01 03 12 50 243  2.8  4.2  2.83 13.79 10.14 323 1019.4  23.1  24.5 999.0 99.0 99.00
2016 01 03 13 50 276  4.3  5.7  2.52 13.79  9.86 318 1019.2  23.3  24.5 999.0 99.0 99.00
2016 01 03 14 50 280  3.3  4.5  2.84 12.90 10.08 326 1019.1  23.3  24.5 999.0 99.0 99.00
2016 01 03 15 50 278  3.7  5.6  3.13 12.90 10.64 320 1019.0  23.3  24.4 999.0 99.0 99.00
2016 01 03 16 50 271  3.4  4.5  2.90 12.12  9.83 324 1019.5  23.6  24.4 999.0 99.0 99.00
2016 01 03 17 50 294  5.4  7.4  2.82 12.12  9.83 329 1020.2  23.8  24.4 999.0 99.0 99.00
2016 01 03 18 50 309  5.2  6.5  3.07 13.79 10.19 303 1020.8  24.0  24.4 999.0 99.0 99.00
2016 01 03 19 50 309  3.6  5.3  3.10 12.12 10.21 329 1021.3  24.0  24.3 999.0 99.0 99.00
2016 01 03 20 50 298  3.0  4.3  2.72 12.90  9.30 330 1021.5  24.0  24.2 999.0 99.0 99.00
2016 01 03 21 50 315  3.3  4.6  2.86 11.43  9.75 332 1021.1  24.0  24.2 999.0 99.0 99.00
2016 01 03 22 50 318  3.4  5.0  3.01 12.12  9.68 323 1020.3  23.9  24.2 999.0 99.0 99.00
