#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 12 31 23 50  52  5.3  7.5  1.93  9.09  6.53  50 1016.1  21.2  24.5 999.0 99.0 99.00
2017 01 01 00 50  52  4.6  6.4  1.97 10.00  6.52  57 1016.0  21.3  24.5 999.0 99.0 99.00
2017 01 01 01 50  31  6.8  8.5  2.02 10.00  6.52  52 1016.2  21.3  24.5 999.0 99.0 99.00
2017 01 01 02 50  32  6.2  8.7  2.08  9.09  6.77  48 1016.6  21.4  24.5 999.0 99.0 99.00
2017 01 01 03 50  26  5.3  7.0  1.95  9.09  6.48  63 1016.8  21.2  24.4 999.0 99.0 99.00
2017 01 01 04 50  39  5.2  7.0  1.69 10.00  6.53  63 1017.0  21.2  24.4 999.0 99.0 99.00
2017 01 01 05 50  39  5.4  7.2  1.99 10.00  6.89  40 1017.1  21.2  24.4 999.0 99.0 99.00
2017 01 01 06 50  49  4.9  7.0  1.79 10.00  6.86  45 1017.7  21.2  24.4 999.0 99.0 99.00
2017 01 01 07 50  56  5.1  6.2  1.75  9.09  6.82  49 1017.8  21.2  24.4 999.0 99.0 99.00
2017 01 01 08 50  63  4.4  6.3  1.59 10.00  6.77  44 1018.2  21.1  24.4 999.0 99.0 99.00
2017 01 01 09 50  63  3.9  5.5  1.94 10.00  7.25  40 1018.5  21.1  24.3 999.0 99.0 99.00
2017 01 01 10 50  35  3.5  4.9  1.81  9.09  7.26  57 1018.2  21.1  24.3 999.0 99.0 99.00
2017 01 01 11 50  46  3.4  4.7  1.88  9.09  7.25  46 1017.9  21.1  24.3 999.0 99.0 99.00
2017 01 01 12 50  33  2.9  4.2  1.78 10.00  7.25  32 1017.8  21.1  24.3 999.0 99.0 99.00
2017 01 01 13 50  60  4.0  5.6  1.73 10.00  7.04  34 1017.3  21.1  24.3 999.0 99.0 99.00
2017 01 01 14 50  65  3.3  4.4  1.74  9.09  7.01  47 1017.3  21.1  24.3 999.0 99.0 99.00
2017 01 01 15 50  68  3.5  4.7  1.72 10.00  7.02  45 1017.2  21.0  24.3 999.0 99.0 99.00
2017 01 01 16 50  38  3.5  5.3  1.82  9.09  7.33  48 1017.6  21.0  24.3 999.0 99.0 99.00
2017 01 01 17 50  55  1.8  2.9  1.94 10.00  7.45  24 1017.9  21.1  24.3 999.0 99.0 99.00
2017 01 01 18 50  39  2.1  3.3  1.87 10.00  7.55  52 1018.5  21.6  24.3 999.0 99.0 99.00
2017 01 01 19 50 353  3.0  4.8  1.72 10.00  7.85  48 1018.8  21.4  24.3 999.0 99.0 99.00
2017 01 01 20 50  53  3.1  4.1  1.62 10.00  8.10  44 1018.3  21.5  24.4 999.0 99.0 99.00
2017 01 01 21 50  37  1.9  3.5  1.62 13.79  8.07  23 1017.6  21.3  24.5 999.0 99.0 99.00
2017 01 01 22 50   3  1.2  2.7  1.98 13.79  8.78  43 1016.8  21.3  24.7 999.0 99.0 99.00
2017 01 01 23 50  75  1.8  3.1  2.14 13.79  8.79  17 1015.8  21.3  24.8 999.0 99.0 99.00
2017 01 02 00 50 343  0.7  1.9  2.09 12.90  8.91  36 1015.6  21.5  24.9 999.0 99.0 99.00
2017 01 02 01 50 116  0.8  1.8  2.32 12.90  9.18  14 1015.5  21.6  24.9 999.0 99.0 99.00
2017 01 02 02 50  71  1.3  2.0  2.10 12.90  9.01  24 1015.8  21.5  24.8 999.0 99.0 99.00
2017 01 02 03 50 360  1.2  2.3  2.27 11.43  8.86  33 1016.1  21.6  24.7 999.0 99.0 99.00
2017 01 02 04 50   7  0.7  1.5  2.10 12.12  8.26  32 1016.5  21.3  24.6 999.0 99.0 99.00
2017 01 02 05 50 352  0.9  1.9  2.08 12.12  8.43  38 1017.0  21.3  24.5 999.0 99.0 99.00
2017 01 02 06 50   4  1.8  3.1  2.29 12.12  9.04  20 1017.4  21.3  24.4 999.0 99.0 99.00
2017 01 02 07 50  26  2.1  3.2  2.03 12.90  8.86  18 1017.4  21.3  24.3 999.0 99.0 99.00
2017 01 02 08 50  28  2.1  3.7  1.98 12.90  9.07  11 1017.3  21.2  24.3 999.0 99.0 99.00
2017 01 02 09 50  20  2.2  3.5  1.96 12.90  9.39  13 1017.3  21.1  24.4 999.0 99.0 99.00
2017 01 02 10 50  45  2.8  4.2  1.95 12.90  9.11  18 1016.9  21.0  24.4 999.0 99.0 99.00
2017 01 02 11 50  85  1.4  2.3  2.00 12.90  9.10   1 1016.8  20.9  24.4 999.0 99.0 99.00
2017 01 02 12 50  48  2.2  3.8  1.71 12.90  8.73  20 1016.6  20.9  24.3 999.0 99.0 99.00
2017 01 02 13 50  85  1.8  2.9  1.86 11.43  8.50  49 1015.9  20.8  24.3 999.0 99.0 99.00
2017 01 02 14 50  72  1.4  2.3  1.91 11.43  8.59  26 1015.5  20.7  24.3 999.0 99.0 99.00
2017 01 02 15 50  72  1.8  2.7  1.99 10.81  8.88  22 1015.5  20.7  24.3 999.0 99.0 99.00
2017 01 02 16 50  79  2.0  3.2  2.04 12.12  8.80  36 1015.9  20.7  24.3 999.0 99.0 99.00
2017 01 02 17 50 113  0.8  1.7  1.74 12.12  8.62  31 1016.6  20.9  24.3 999.0 99.0 99.00
2017 01 02 18 50 102  1.0  1.7  1.86 12.12  8.80  16 1017.0  21.6  24.3 999.0 99.0 99.00
2017 01 02 19 50  65  1.0  1.8  1.66 11.43  8.61  40 1017.7  21.5  24.4 999.0 99.0 99.00
2017 01 02 20 50  52  0.3  0.9  1.74 12.12  8.86   5 1017.7  21.8  24.5 999.0 99.0 99.00
2017 01 02 21 50 356  0.5  1.2  1.52 11.43  8.50  33 1017.4  21.5  24.7 999.0 99.0 99.00
2017 01 02 22 50 184  0.6  1.6  1.52 10.81  8.61  30 1016.4  21.9  25.0 999.0 99.0 99.00
2017 01 02 23 50  93  0.5  1.1  1.60 12.12  9.04  13 1015.5  21.6  25.3 999.0 99.0 99.00
2017 01 03 00 50 209  0.8  2.0  1.57 10.81  8.73  40 1015.3  22.1  25.4 999.0 99.0 99.00
2017 01 03 01 50 178  0.8  1.8  1.42 11.43  8.49 354 1015.1  22.2  25.4 999.0 99.0 99.00
2017 01 03 02 50 157  0.6  1.8  1.53 11.43  8.52   6 1014.9  22.0  25.3 999.0 99.0 99.00
2017 01 03 03 50  82  0.5  1.6  1.43 12.12  8.43 339 1015.1  22.1  25.1 999.0 99.0 99.00
2017 01 03 04 50  29  1.3  2.2  1.40 11.43  8.50  10 1015.6  21.5  24.9 999.0 99.0 99.00
2017 01 03 05 50   1  2.2  3.1  1.51 11.43  8.73  30 1016.2  21.6  24.7 999.0 99.0 99.00
2017 01 03 06 50  27  3.1  4.2  1.51 10.81  8.87  20 1016.6  21.8  24.6 999.0 99.0 99.00
2017 01 03 07 50  59  2.5  3.4  1.26 12.12  8.58 326 1016.7  21.7  24.5 999.0 99.0 99.00
2017 01 03 08 50  44  1.9  3.5  1.17 10.81  8.27 352 1016.6  21.8  24.4 999.0 99.0 99.00
2017 01 03 09 50  22  1.5  2.9  1.24 10.81  8.61 350 1016.5  21.9  24.4 999.0 99.0 99.00
2017 01 03 10 50  15  1.0  2.2  1.28 11.43  8.65  18 1016.6  21.9  24.3 999.0 99.0 99.00
2017 01 03 11 50 189  0.1  0.5  1.25 11.43  8.63  19 1016.3  21.8  24.3 999.0 99.0 99.00
2017 01 03 12 50   3  0.5  1.2  1.31 12.12  7.97 333 1016.2  21.9  24.4 999.0 99.0 99.00
2017 01 03 13 50  27  6.2  8.2  1.88  7.14  7.59 349 1015.7  21.5  24.4 999.0 99.0 99.00
2017 01 03 14 50  56  8.0 10.1  2.03  6.67  6.45   8 1015.5  20.8  24.4 999.0 99.0 99.00
2017 01 03 15 50  57  9.8 11.9  2.19 11.43  6.18 341 1015.9  20.0  24.4 999.0 99.0 99.00
2017 01 03 16 50  52  7.7  9.6  2.35 10.81  6.29 346 1017.0  19.5  24.3 999.0 99.0 99.00
2017 01 03 17 50  62  9.3 11.6  2.30 10.81  6.43 357 1017.4  20.7  24.3 999.0 99.0 99.00
2017 01 03 18 50  50 10.0 11.9  2.60 11.43  6.50 343 1017.7  21.4  24.3 999.0 99.0 99.00
